2008 12 02 23 44   16.52      79    1.63      53   618.6
2008 12 02 23 49   14.78      84    1.68      49   618.6
2008 12 02 23 54   15.65      82    1.63      51   618.6
2008 12 02 23 59   16.52      82    1.75      51   618.6
2008 12 03 00 04   15.65      81    1.75      53   618.5
2008 12 03 00 09   15.65      81    1.75      52   618.5
2008 12 03 00 14   13.04      88    1.63      36   618.6
2008 12 03 00 19   14.78      85    1.31      43   618.5
2008 12 03 00 24   14.78      86    1.26      52   618.5
2008 12 03 00 29   16.52      82    1.26      52   618.4
2008 12 03 00 34   18.26      83    1.31      51   618.4
2008 12 03 00 39   17.39      82    1.39      50   618.4
2008 12 03 00 44   15.65      78    1.31      47   618.4
2008 12 03 00 49   14.78      86    1.19      40   618.4
2008 12 03 00 54   15.65      89    0.95      20   618.4
2008 12 03 00 59   13.04      93    0.70      34   618.3
